Year,m,d,Time,Time zone,Direction of waves (deg),Wave height (m)
2019,4,21,00:30,UTC,102,0.1
2019,4,21,01:00,UTC,119,0.1
2019,4,21,01:30,UTC,154,0.1
2019,4,21,02:00,UTC,144,0.1
2019,4,21,02:30,UTC,150,0.1
2019,4,21,03:00,UTC,131,0.1
2019,4,21,03:30,UTC,116,0.1
2019,4,21,04:00,UTC,110,0.2
2019,4,21,04:30,UTC,127,0.2
2019,4,21,05:00,UTC,123,0.2
2019,4,21,05:30,UTC,150,0.2
2019,4,21,06:00,UTC,138,0.2
2019,4,21,06:30,UTC,110,0.2
2019,4,21,07:00,UTC,172,0.2
2019,4,21,07:30,UTC,116,0.2
2019,4,21,08:00,UTC,119,0.1
2019,4,21,08:30,UTC,152,0.1
2019,4,21,09:00,UTC,134,0.1
2019,4,21,09:30,UTC,178,0.2
2019,4,21,10:00,UTC,99,0.2
2019,4,21,10:30,UTC,100,0.2
2019,4,21,11:00,UTC,93,0.2
2019,4,21,11:30,UTC,99,0.1
2019,4,21,12:00,UTC,96,0.1
2019,4,21,12:30,UTC,102,0.2
2019,4,21,13:00,UTC,107,0.1
2019,4,21,13:30,UTC,98,0.1
2019,4,21,14:00,UTC,110,0.1
2019,4,21,14:30,UTC,57,0.2
2019,4,21,15:00,UTC,115,0.1
2019,4,21,15:30,UTC,138,0.1
2019,4,21,16:00,UTC,130,0.1
2019,4,21,16:30,UTC,176,0.1
2019,4,21,17:00,UTC,174,0.1
2019,4,21,17:30,UTC,82,0.1
2019,4,21,18:00,UTC,175,0.2
2019,4,21,18:30,UTC,179,0.1
2019,4,21,19:00,UTC,133,0.1
2019,4,21,19:30,UTC,203,0.1
2019,4,21,20:00,UTC,116,0.1
2019,4,21,20:30,UTC,134,0.1
2019,4,21,21:00,UTC,82,0.1
2019,4,21,21:30,UTC,185,0.1
2019,4,21,22:00,UTC,196,0.1
2019,4,21,22:30,UTC,150,0.1
2019,4,21,23:00,UTC,178,0.1
2019,4,21,23:30,UTC,174,0.1
2019,4,22,00:00,UTC,189,0.1
2019,4,22,00:30,UTC,124,0.1
2019,4,22,01:00,UTC,127,0.1
